City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Igarka,RU,67.4667,86.5833,3.33,99,100,7.83,overcast clouds
1,Mpanda,TZ,-6.3655,31.0409,73.06,49,93,1.74,overcast clouds
2,Dikson,RU,73.5069,80.5464,20.68,91,100,5.77,overcast clouds
3,Albany,US,42.6001,-73.9662,57.58,66,0,3.58,clear sky
4,Atuona,PF,-9.8,-139.0333,77.54,79,19,12.64,few clouds
5,Bagdarin,RU,54.4333,113.6,15.82,63,100,4.61,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,70.07,68,100,15.73,overcast clouds
7,Busselton,AU,-33.65,115.3333,61.41,78,16,11.32,few clouds
8,Payson,US,40.0444,-111.7321,38.59,72,100,1.99,overcast clouds
9,Qaanaaq,GL,77.484,-69.3632,8.15,53,32,9.08,scattered clouds
10,Saldanha,ZA,-33.0117,17.9442,61.29,95,9,6.53,clear sky
11,Alyangula,AU,-13.8483,136.4192,87.31,43,48,16.35,scattered clouds
12,Saskylakh,RU,71.9167,114.0833,13.08,96,100,3.89,light snow
13,Sisimiut,GL,66.9395,-53.6735,24.98,53,100,7.58,overcast clouds
14,Gazli,UZ,40.1333,63.45,53.96,74,3,5.59,clear sky
15,Bathsheba,BB,13.2167,-59.5167,80.1,81,58,13.53,broken clouds
16,Ushuaia,AR,-54.8,-68.3,58.66,58,20,4.61,few clouds
17,Huilong,CN,31.8111,121.655,59.94,59,89,16.08,overcast clouds
18,Olyka,UA,50.7186,25.8125,45.16,80,48,2.59,scattered clouds
19,Mataura,NZ,-46.1927,168.8643,53.96,76,85,11.7,overcast clouds
20,Hermanus,ZA,-34.4187,19.2345,65.8,95,100,13.82,overcast clouds
21,Sur,OM,22.5667,59.5289,76.93,48,0,9.91,clear sky
22,Port Elizabeth,ZA,-33.918,25.5701,67.1,90,77,11.48,broken clouds
23,Arrecife,ES,28.963,-13.5477,67.98,83,20,6.91,few clouds
24,Ribeira Grande,PT,38.5167,-28.7,67.77,97,12,10.0,few clouds
25,Lompoc,US,34.6391,-120.4579,62.94,59,27,7.0,scattered clouds
26,Carnarvon,AU,-24.8667,113.6333,71.78,69,0,17.9,clear sky
27,Mangrol,IN,21.1167,70.1167,77.41,56,0,7.38,clear sky
28,Naze,JP,28.3667,129.4833,69.48,69,61,15.08,broken clouds
29,Saint George,US,37.1041,-113.5841,49.95,51,87,8.99,overcast clouds
30,Hualmay,PE,-11.0964,-77.6139,63.72,81,8,7.85,clear sky
31,Tasiilaq,GL,65.6145,-37.6368,32.16,95,100,11.79,overcast clouds
32,Pevek,RU,69.7008,170.3133,-14.76,98,40,4.88,scattered clouds
